MESS_DATUM,WATER-LEVEL,DISCHARGE,  RS,RS1,RS2,RS3,RS7,RS14, RSF,FLOOD,PIVOT
1990-01-01,12.951785714285714,40.82142857142857,0.1,0.1027901147084698,0.0812138492397264,0.0,0.453203994833308,6.1172339595882335,6.0,0,1
1990-01-29,13.044115384615385,41.84615384615385,0.0,0.0,0.0,0.0,0.3035106106405278,4.296026421279831,0.0,0,29
1990-03-01,10.582035714285713,36.5,1.4,2.430143497830383,1.934630993155868,3.889256980136788,5.430673021732938,0.0,8.0,0,60
1990-03-31,5.573518518518519,24.923076923076923,0.0,0.0,0.0,4.056357201937559,4.583380475847187,2.5192745437151007,0.0,0,90
1990-05-01,4.549695652173913,22.0,0.0,0.0,0.0,0.0,0.016784283606486,0.0,0.0,0,121
1990-05-31,13.562125,41.958333333333336,0.0,8.283409518855661,14.902034134610696,24.62222775613792,19.614896666091564,9.31050888338514,0.0,0,151
1990-07-01,5.799499999999999,24.75,3.9,3.915904717758048,0.3478901385899584,0.1832039495495276,0.683857597950772,0.4766027784732862,6.0,0,182
1990-08-01,7.576944444444444,30.555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,213
1990-08-31,6.753172413793104,28.0,63.8,24.19004424808473,6.318361845115912,8.201451491213481,1.5580222418920011,0.921026329619402,6.0,0,243
1990-10-01,6.987148148148147,28.814814814814813,0.0,0.0,0.0,11.437900118487322,0.0,0.2268317690803399,0.0,0,274
1990-10-31,8.895344827586205,33.86206896551724,0.1,14.045625154994877,9.428775538137334,0.5929154554624207,1.1119316151463623,1.6016919584992522,6.0,0,304
1990-12-01,18.007214285714287,53.964285714285715,1.6,1.2495997168794932,1.393183246549467,1.5659798821744364,1.5485709447276264,0.0507744457698089,8.0,0,335
1991-01-01,20.438074074074073,61.2962962962963,7.5,7.44918571627751,8.075375890015364,9.931095081398157,6.617779846630077,5.428972046624643,6.0,0,366
1991-01-29,5.778,24.40909090909091,0.0,0.0,0.0,0.0,0.0,0.3213850661188834,0.0,0,394
1991-03-01,6.899111111111111,27.444444444444443,1.0,0.3377956136889248,0.0,0.1040395470472246,0.4013226864556038,0.3012861056072096,6.0,0,425
1991-03-31,5.126478260869566,22.52173913043478,0.0,0.3387288698985633,0.441175588138955,1.068848762754634,5.2243766494165325,5.540156860677543,0.0,0,455
1991-05-01,5.883130434782609,24.652173913043477,4.6,3.9731229481423145,4.524354578078752,5.763211398940694,6.500703999004729,5.224260951028503,6.0,0,486
1991-05-31,8.18423076923077,31.53846153846154,0.0,0.0,0.0,4.749106870455167,5.405880778729637,1.769942939803691,0.0,0,516
1991-07-01,7.161346153846154,29.26923076923077,3.8,2.8639234154499897,0.0,0.0,0.0,0.0710645051421423,6.0,0,547
1991-08-01,8.69025,32.916666666666664,0.0,0.0,0.0,0.0,15.970794763659203,0.0,0.0,0,578
1991-08-31,6.547105263157895,27.38888888888889,0.0,0.0,0.0,0.0,0.0120337659562975,0.0967020146704732,0.0,0,608
1991-10-01,4.703947368421052,21.31578947368421,3.3,1.1512441437560417,1.4729820682240484,0.2280516976612398,0.0,0.8496632520122085,6.0,0,639
1991-10-31,16.859148148148147,51.96296296296296,0.0,0.4858942002847138,0.0,15.158345285563094,44.70668408211952,0.0,0.0,0,669
1991-12-01,21.115037037037037,58.81481481481482,0.0,0.0,0.0,0.0815596177929561,0.2528690496146812,0.0,0.0,0,700
1992-01-01,10.299233333333332,36.5,0.0,0.0,0.0,4.728561461539357,2.671689968269044,4.7266006396788125,0.0,0,731
1992-01-30,7.324750000000001,27.75,0.0,0.0,0.0,0.0709240986233833,0.1,3.209159948802432,0.0,0,760
1992-03-01,16.44562962962963,51.0,2.8,3.795752036939217,1.1340040329161964,2.678921567833463,0.0,0.0,6.0,0,791
1992-03-31,7.367538461538462,28.44,3.4,1.9486237466564864,1.7366248804892197,2.70468370230311,0.2802657657208611,2.2085915448346785,6.0,0,821
1992-05-01,6.53192,27.12,19.9,22.60442281306349,0.5295592827796604,0.2265061601240234,1.9561470750067436,4.610607325463016,6.0,0,852
1992-05-31,6.978363636363636,28.142857142857142,0.1,1.3394545986393551,2.539308158679534,8.924826506623534,0.0,0.0,6.0,0,882
1992-07-01,7.104761904761905,27.333333333333332,3.9,3.868742263654672,4.712946914473806,0.6401111329862306,2.054074335625197,0.0,6.0,0,913
1992-08-01,9.083,33.333333333333336,8.9,3.596729727715294,1.0370818462685654,0.5329274232937906,0.8564812732528833,1.6618386281809134,6.0,0,944
1992-08-31,9.089785714285714,33.42857142857143,9.1,6.108418524585797,13.34208758154931,9.51496755045596,2.7659428940886333,2.5463049556040023,6.0,0,974
1992-10-01,9.743166666666667,35.416666666666664,0.5,0.1873556939248835,0.0,0.0,0.0,0.089656910500325,6.0,0,1005
1992-10-31,24.173533333333335,69.36666666666666,0.0,0.0,0.0,5.650462433167158,3.696438722671338,0.0,0.0,0,1035
1992-12-01,15.916387096774194,50.83870967741935,0.0,7.122980349864587,14.570025238706153,0.0,6.547533093422928,0.0,0.0,0,1066
1993-01-01,35.9326,90.36666666666666,0.0,0.0,0.0,0.0,0.6196085434271339,0.4341248019301194,0.0,0,1097
1993-01-29,5.6685,26.19047619047619,0.2,0.2036766163851301,0.0,0.0,0.0,0.0,6.0,0,1125
1993-03-01,3.806928571428571,21.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1156
1993-03-31,5.636964285714286,27.035714285714285,0.0,5.325065948300786,4.465004282969489,0.0,0.0790737054529071,0.5642616225705206,0.0,0,1186
1993-05-01,6.107368421052631,28.36842105263158,3.2,0.8837328255967357,0.0,0.0,1.6973530661855758,3.629520236480032,6.0,0,1217
1993-05-31,4.614,24.19047619047619,1.1,0.7868050542697642,5.503531240932608,6.05537501778775,0.0,3.922167462660359,6.0,0,1247
1993-07-01,8.216074074074074,33.370370370370374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1278
1993-08-01,6.723392857142857,28.555555555555557,0.0,0.0,0.1084563123813692,1.1889099907962823,0.5915468929315154,0.0,0.0,0,1309
1993-08-31,10.973423076923076,39.76923076923077,0.2,0.1090257594172541,8.066487469296627,9.594668515467566,1.659265598524987,2.1774345500476224,6.0,0,1339
1993-10-01,19.578580645161292,61.0,0.0,13.184102784888353,20.55713128144604,18.18682331223289,6.223190751364438,0.0,0.0,0,1370
1993-10-31,8.680464285714285,31.714285714285715,0.0,0.0,0.0,0.0,0.8646320425794167,9.18792328998204,0.0,0,1400
1993-12-01,35.92480645161291,90.0,2.0,8.598855245518966,12.532526127953105,4.450849221381676,7.957018013889813,6.147032029927636,6.0,0,1431
1994-01-01,34.84383870967742,88.87096774193549,2.3,17.54217803398553,18.235380122271884,5.183031757634619,3.57093599828273,0.0,8.0,0,1462
1994-01-29,8.327592592592593,29.814814814814813,7.6,7.0519675727345295,1.6769335971780763,0.0,1.0342279156058567,0.0,6.0,0,1490
1994-03-01,20.297677419354837,58.645161290322584,1.8,4.001127540496643,6.667050351605304,4.10923464164681,0.2221941123766617,17.00583594513187,6.0,0,1521
1994-03-31,14.278620689655172,45.55172413793103,11.4,10.526765850337217,11.769852034704536,2.250435782070949,5.899423645895673,0.2400222967976712,6.0,0,1551
1994-05-01,6.916838709677419,26.548387096774192,0.0,0.0,1.930333898576714,3.16997534968418,9.745349672420073,1.4632314069670975,0.0,0,1582
1994-05-31,8.32937037037037,31.333333333333332,0.0,0.1542340972016376,6.824554193073118,9.504052211141618,3.759108678349064,0.0,0.0,0,1612
1994-07-01,6.773178571428572,26.285714285714285,0.0,0.0,0.0,24.61770470010095,11.959301391321684,0.0,0.0,0,1643
1994-08-01,6.968357142857143,26.964285714285715,1.8,0.94950787528687,0.0,0.0,0.0,0.0,6.0,0,1674
1994-08-31,6.967896551724137,27.379310344827587,1.0,1.0062950044046657,4.565846040774956,3.3972915636141225,8.846089830077604,4.1089585504953,6.0,0,1704
1994-10-01,8.373096774193549,31.193548387096776,0.4,0.4875844559696499,6.361623608134635,22.18162317638665,0.0,0.0,6.0,0,1735
1994-10-31,18.429199999999998,56.03333333333333,14.4,3.5536778318216826,0.0,0.0,6.151346795532431,0.0,6.0,0,1765
1994-12-01,27.600517241379308,69.6896551724138,0.0,0.0,1.602555609717296,3.4876549318544807,1.6614854594884516,38.64400952165292,0.0,0,1796
1995-01-01,33.86064516129032,87.06451612903226,7.8,7.453015634167985,3.635517695207559,0.0,0.578185415793814,2.636445902406068,8.0,0,1827
1995-01-29,26.251035714285713,74.92857142857143,24.0,10.271397641104858,0.0,0.0,5.936638276923434,1.0617338069272133,6.0,0,1855
1995-03-01,14.894516129032258,49.064516129032256,6.1,3.46750228015922,1.682794459300379,0.0,8.256642859958568,7.338933760645777,6.0,0,1886
1995-03-31,13.323785714285714,44.107142857142854,11.4,3.535225680140015,1.1101850244610707,0.0,0.3338373904391213,0.7198108285128542,6.0,0,1916
1995-05-01,7.498733333333333,28.233333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1947
1995-05-31,9.787892857142856,34.392857142857146,0.3,0.1711219774739656,0.0,0.0,22.667215093045844,8.092680573595405,6.0,0,1977
1995-07-01,8.769434782608696,32.04347826086956,2.5,1.9037599261108245,6.334866856524828,0.0,0.0,0.0,6.0,0,2008
1995-08-01,6.163433333333333,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2039
1995-08-31,8.09067857142857,30.607142857142858,0.0,4.291726367708008,17.221335849216636,0.0,0.4830221319679446,1.0607119342168336,0.0,0,2069
1995-10-01,6.713310344827587,26.896551724137932,2.4,2.799173859586538,4.106974224034785,7.18878123500901,2.194930730501147,0.0,6.0,0,2100
1995-10-31,5.737518518518519,24.185185185185187,2.2,3.7160464245542952,4.33563628461626,0.0,1.522393560835428,1.5034782053109257,6.0,0,2130
1995-12-01,6.437555555555555,26.296296296296298,0.0,0.0949461022064773,0.0305374594848927,0.0,0.0,0.0,0.0,0,2161
1996-01-01,4.479925925925926,20.814814814814813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2192
1996-01-30,7.746961538461538,29.96153846153846,0.0,0.0,0.0,1.769317584227741,2.83898386636258,0.5937711435289136,0.0,0,2221
1996-03-01,4.089318181818182,19.545454545454547,0.2,0.0687056187013397,0.0,0.0840609848536944,0.0,0.0,6.0,0,2252
1996-03-31,3.74562962962963,18.333333333333332,4.6,1.1532406055863105,0.0,0.0,0.0,0.0,7.0,0,2282
1996-05-01,5.7903,23.833333333333332,3.5,8.496803242094309,10.1644831054049,10.70199242797124,0.9360013292431062,0.7417649020227407,6.0,0,2313
1996-05-31,4.501739130434783,19.91304347826087,6.5,1.5436226736736307,0.1496098824446599,0.1865467611988958,0.0,0.0,6.0,0,2343
1996-07-01,4.986033333333333,21.3,8.4,5.847757219699011,4.6905068598879,5.177829078457752,3.9483301876378,0.0574899143604023,6.0,0,2374
1996-08-01,7.117266666666667,26.733333333333334,0.0,0.0,0.0,0.0,0.0,2.978304508854878,0.0,0,2405
1996-08-31,5.284692307692307,22.076923076923077,3.7,0.6202736386699246,0.0,0.0,0.0,0.0196002244948994,6.0,0,2435
1996-10-01,8.032241379310346,29.655172413793103,26.4,8.96348332135171,0.9982434920946536,1.9591123207721843,1.203076601205994,0.0,6.0,0,2466
1996-10-31,12.498,41.96666666666667,29.7,27.51861872934242,2.198266825808547,0.8788472329181849,0.4879832780410171,0.9074573284155832,6.0,0,2496
1996-12-01,11.349827586206896,37.41379310344828,7.3,9.94126709586606,11.306749797737744,6.56056879804148,0.0,0.5656196729083048,6.0,0,2527
1997-01-01,4.509555555555555,19.88888888888889,0.0,0.0,3.5784318067147494,0.3759875998573572,0.0,0.0,0.0,0,2558
1997-01-29,18.146142857142856,55.964285714285715,0.0,0.0,0.4858913161441649,0.6049403929641457,4.4732225550644245,34.71920761606104,0.0,0,2586
1997-03-01,7.3297741935483876,29.3,0.0,0.0,2.0484417330707694,0.0,0.0,5.317182472612329,0.0,0,2617
1997-03-31,7.17751724137931,26.551724137931036,0.0,0.0,0.0,0.2704972104934176,0.0626067790055042,0.1598393438093863,0.0,0,2647
1997-05-01,11.292935483870968,38.225806451612904,0.0,0.0,0.0,0.4307961871543986,2.189743871378912,0.8181393417208875,0.0,0,2678
1997-05-31,10.416107142857143,34.964285714285715,0.0,0.0,0.0,0.0,13.063331137281494,8.927917948314635,0.0,0,2708
1997-07-01,7.378966666666667,27.6,6.1,7.089232457801624,0.9042583765821312,1.1801382566321537,0.5544527703659716,0.0,6.0,0,2739
1997-08-01,7.674851851851852,28.59259259259259,7.8,0.0,0.0,0.5806622441606695,0.0,0.0,6.0,0,2770
1997-08-31,6.691931034482758,25.689655172413794,0.0,7.8538132492517265,6.043621771767711,0.0,2.430901437397844,6.45970708117338,0.0,0,2800
1997-10-01,7.221137931034483,27.20689655172414,1.6,0.4898220027740833,0.0,0.0,19.48894084121639,10.361190532929095,6.0,0,2831
1997-10-31,4.958379310344828,21.482758620689655,0.0,0.0,0.0,0.0,0.0,0.3776412557661818,0.0,0,2861
1997-12-01,9.018466666666665,33.53333333333333,0.0,0.0,0.1999497365941757,0.1930226221250046,2.308314128503917,1.04134054975965,0.0,0,2892
1998-01-01,13.015354838709678,43.645161290322584,6.5,13.258202943386802,10.273384938757474,1.8812674290931248,0.1254663408760428,4.916301429453541,6.0,0,2923
1998-01-29,4.715357142857143,21.178571428571427,0.5,2.3006389408783057,4.99920213704125,0.0,0.0,0.0,8.0,0,2951
1998-03-01,16.373548387096772,47.61290322580645,10.2,7.364086653842874,15.693584864831433,13.474092672720856,6.902223042286051,3.641876274584212,8.0,0,2982
1998-03-31,12.140733333333333,41.666666666666664,0.0,0.3371891563160742,7.055595315882359,12.796237113740712,18.34275313299384,2.655189427385401,0.0,0,3012
1998-05-01,6.403142857142858,25.428571428571427,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0,3043
1998-05-31,12.6032,42.4,21.2,15.563325580861427,22.35981241033885,0.0,21.202508660341508,1.8962801863248744,6.0,0,3073
1998-07-01,11.000451612903227,38.58064516129032,0.0,0.0,0.0,0.5106994702150116,0.4854598643066082,1.9752832647633796,0.0,0,3104
1998-08-01,9.208548387096773,33.45161290322581,0.4,0.0446639092747678,2.7199406638095285,3.23875310257228,0.0,0.0,6.0,0,3135
1998-08-31,24.047633333333334,66.06666666666666,0.0,0.3786526624146927,0.9093308688201138,4.180448194613937,13.931076500754587,0.0,0.0,0,3165
1998-10-01,27.947866666666666,77.23333333333333,4.5,3.0210194668799417,0.9919923728534294,2.009390178761677,1.2076177135170636,1.0434943680431317,6.0,0,3196
1998-10-31,24.511833333333335,69.76666666666667,43.5,0.0,4.873399392867502,5.459789195497348,4.055390456594188,5.9298220458435535,6.0,0,3226
1998-12-01,10.795064516129033,39.67741935483871,0.0,0.0,0.0,3.423628942283972,2.8966606383170124,2.1608540178801103,0.0,0,3257
1999-01-01,22.124193548387098,68.54838709677419,0.0,2.097149905027249,22.439104394364943,12.687123709377968,6.336791721719749,1.801454337741046,0.0,0,3288
1999-01-29,15.08274074074074,50.407407407407405,1.0,0.4914689599604694,0.2786989024470299,1.2661834593808492,4.387790470251732,5.64851964505252,7.0,0,3316
1999-03-01,23.880533333333332,65.66666666666667,46.8,34.85810770611838,13.140230623350662,2.0309202901541794,0.0,0.0,6.0,0,3347
1999-03-31,9.3498,34.5,0.0,0.0,0.0,10.010466232740198,11.826944647242348,15.268538048082409,0.0,0,3377
1999-05-01,6.278173913043478,25.565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3408
1999-05-31,7.870777777777778,30.0,0.0,0.0,0.0,20.5423531555398,13.348760696240562,3.142544833590643,0.0,0,3438
1999-07-01,5.697967741935484,25.193548387096776,0.1,0.0385898017442243,0.0,2.920299829253433,0.9239707240238216,0.0,6.0,0,3469
1999-08-01,8.163451612903225,34.68387096774194,0.0,0.0,0.0,0.2809763877274233,4.805371187923354,11.632920391929638,0.0,0,3500
1999-08-31,7.4512,31.913333333333334,0.1,0.0,0.0,0.0,0.0,0.0,6.0,0,3530
1999-10-01,6.3991612903225805,34.66129032258065,1.0,2.5667183791896457,5.553663936134912,2.5771168988801567,21.867182014727614,4.37643282509506,6.0,0,3561
1999-10-31,6.016566666666667,45.443333333333335,0.0,6.255613281034371,6.288889673772903,0.0,4.910182023699773,2.8350189264237384,0.0,0,3591
1999-12-01,23.735064516129032,143.71935483870968,4.9,0.0,1.735167631583609,2.7946315924409,5.304684719108196,1.179759411497206,6.0,0,3622
2000-01-01,14.788709677419355,95.23548387096774,2.3,1.111790287098035,2.4311221658365643,16.640895525492684,10.81846036986606,2.179486528446147,6.0,0,3653
2000-01-30,23.191862068965516,130.7103448275862,8.2,6.6973159021973006,1.3751009541323054,2.222316812477437,3.554813805219402,3.582579243368976,6.0,0,3682
2000-03-01,21.66458064516129,116.90645161290323,7.2,5.581961908699329,7.318088972802135,10.509286521481142,0.0,13.138958648047138,6.0,0,3713
2000-03-31,5.2077333333333335,33.04333333333333,0.1,0.1694852321318825,0.0,1.097275543371118,1.5179220582277877,0.0,6.0,0,3743
2000-05-01,5.956290322580645,27.10967741935484,0.0,0.0,0.7116307484653965,0.5161226398127724,0.6956816502319014,0.3018670593516304,0.0,0,3774
2000-05-31,6.8726666666666665,24.186666666666667,0.0,0.0,0.0,1.0690359265729938,0.0,0.5852783830861298,0.0,0,3804
2000-07-01,11.996032258064517,39.05806451612903,1.5,5.553458005648139,4.683016727471194,0.0,8.94558831303937,0.128403927088379,6.0,0,3835
2000-08-01,9.267709677419354,32.13870967741936,0.4,2.183665390746128,15.010774518859217,20.98552784953249,0.0,1.4179816802426028,6.0,0,3866
2000-08-31,8.273433333333333,30.90693333333333,0.0,13.295575934756226,22.869059929959104,0.9480207219583344,2.85495345993399,1.0841685247916644,0.0,0,3896
2000-10-01,9.51309677419355,34.60645161290322,22.7,24.03676797787217,0.0,0.0,5.236594204114361,2.9683016894448184,6.0,0,3927
2000-10-31,11.283866666666666,40.330000000000005,2.8,6.447052697854589,5.912452105231965,0.7799177397160921,6.485039750369492,3.732259870341751,6.0,0,3957
2000-12-01,10.79632258064516,38.47096774193548,6.8,3.968340365187333,1.765743144641533,1.2790911665253542,1.715316427475534,7.834415500875921,6.0,0,3988
2001-01-01,17.905161290322578,55.903225806451616,8.3,7.068546451545526,3.061071070548441,4.081760711851726,4.603694581744653,1.6526361351727874,6.0,0,4019
2001-01-29,14.61357142857143,47.021428571428565,0.0,0.0,0.0,1.3152046072452643,13.277885160283525,7.654297085503693,0.0,0,4047
2001-03-01,12.565,44.196774193548386,7.3,7.287770897738904,0.494526379508648,0.9084962385180428,1.9626854225324,1.097429981951092,7.0,0,4078
2001-03-31,12.689233333333334,44.81466666666667,0.5,0.0,0.8708187901955098,1.213602295448954,3.3017226516807203,2.359234858825218,6.0,0,4108
